GeoName,New_MEFI_Score,MEFI_Score,Govt_Consumption,Govt_Xfers_Subsidies,Govt_Retirement, Income_Payroll_Tax,Sales_Tax,Property_Tax,Minimum_Wage_Over_Income,Percent_Govt_Employment,Percent_Private_Union_Density,Minimum_Wage_Over_10%_Income
"Abilene, TX MSA",7.882337239,7.96625377,8.406780372,9.346443279,5.900476607,10,3.995088814,8.439602925,7.818176609,8.718677072,9.071038251,8.31579
"Akron, OH MSA",6.388281548,6.131943069,7.718514998,9.064843203,0,3.571266295,4.885289398,8.306957643,7.979989483,8.851883436,4.808743169,7.11579
"Albany, GA MSA",6.956152809,7.03344805,6.407737346,9.277564522,4.674289697,4.210385594,6.009245797,8.590048102,6.891913529,7.786295955,9.453551913,8.75789
"Albany, OR MSA",5.578912633,5.490304958,5.391027678,9.353172995,0.87209427,0,9.679871124,7.796857078,5.540688636,7.281765078,3.49726776,4.29474
"Albany-Schenectady-Troy, NY MSA",6.215632209,5.708029869,7.60473844,9.011833006,4.533779086,1.309393521,5.111088001,7.28998332,7.887584303,8.623869148,0,4.56842
"Albuquerque, NM MSA",6.100589903,6.154301596,5.259639479,9.023332032,0.435480961,6.074660495,2.793394857,9.144113528,6.702748776,7.977202159,7.978142077,7.49474
"Alexandria, LA MSA",6.8100762,6.872441585,6.734199646,9.123289798,2.253275053,6.426378757,2.409226862,9.972101299,7.774859183,7.923670989,9.234972678,8.67368
"Allentown-Bethlehem-Easton, PA-NJ MSA",6.626504865,6.394809053,7.088480804,8.298251989,2.937437358,3.80622984,6.342984833,6.89045123,8.890666488,8.49983072,4.798948219,6.88421
"Altoona, PA MSA",7.12663897,6.753290298,7.283326943,8.636296104,3.061662722,3.865845122,6.245039096,8.962632088,8.176556078,9.466287313,5.081967213,8.44211
"Amarillo, TX MSA",7.801282316,7.939000016,8.201623273,9.346550353,5.791255748,10,3.982240666,8.257056894,8.324745889,8.476489071,9.071038251,7.83158
"Ames, IA MSA",6.562652234,6.623879985,5.481041003,8.736489826,4.576831932,3.580751625,5.361692152,7.478677734,7.65886676,8.926361182,7.81420765,7.26316
"Anchorage, AK MSA",6.683906671,6.553053125,5.112953526,8.877861207,0,9.530428646,9.727644326,8.124189606,8.124884518,7.730882418,1.74863388,2.92632
"Ann Arbor, MI MSA",6.995974051,6.661356085,7.994097012,9.095481873,3.39816576,4.706921625,6.202062642,7.584031076,8.426823502,9.429867179,3.114754098,6.12632
"Anniston-Oxford-Jacksonville, AL MSA",6.280783225,6.149303342,4.684356971,6.452286842,4.44467194,5.269138034,3.767900066,9.689572938,6.808016329,6.63215854,7.595628415,8.77895
"Appleton, WI MSA",6.910338092,6.96280989,7.2688262,9.299248491,3.989566757,3.005356753,6.535190829,8.361230039,8.781851094,8.320193713,7.103825137,6.63158
"Asheville, NC MSA",7.037603216,7.279983301,6.966365673,8.423055408,6.030654983,3.555677145,5.377142412,8.728260028,8.104724628,8.552548668,9.781420765,7.6
"Athens-Clarke County, GA MSA",7.244435296,7.361496619,6.343868915,9.277564522,5.340389274,4.210385594,6.518427379,8.756646911,7.457257816,8.895377251,9.453551913,8.4
"Atlanta-Sandy Springs-Roswell, GA MSA",7.595783199,7.790037505,8.772506532,9.277564522,4.922490912,4.210385594,6.579056342,8.744284697,8.969833442,9.180663595,9.453551913,7.70526
"Atlantic City-Hammonton, NJ MSA",5.620432533,5.178263358,6.495366657,9.166865472,2.340703695,3.618965981,7.112205902,0,7.568260744,7.460471718,2.841530055,6.82105
"Auburn-Opelika, AL MSA",6.425244509,6.279729537,5.192974213,6.452286842,4.615702197,4.888313379,4.646560299,8.991292943,7.118864746,7.0159428,7.595628415,8.90526
"Augusta-Richmond County, GA-SC MSA",7.485244136,7.620578411,8.492620999,8.876277054,5.337283029,4.52206502,6.523788273,8.797271779,7.68994302,8.64373752,9.702219007,8.48421
"Austin-Round Rock, TX MSA",7.729349432,8.016774735,8.260225791,9.346550353,5.290447259,10,4.366101908,7.068761488,9.500080003,9.247767563,9.071038251,6.48421
"Bakersfield, CA MSA",4.345465987,4.201714988,0,7.014628664,0,0.752799123,6.586907492,8.073422471,4.525147549,7.693130689,3.169398907,4.46316
"Baltimore-Columbia-Towson, MD MSA",6.723091507,6.67428826,7.845094678,8.6215048,4.632904865,0.37490983,6.719502493,8.383869647,8.743468857,8.954989446,5.792349727,6.23158
"Bangor, ME MSA",6.532697824,6.418001247,6.869634999,9.269300358,4.984256784,3.772287756,5.433539334,7.25731769,6.09956399,8.666274245,5.409836066,6.44211
"Barnstable Town, MA MSA",6.279946542,6.551317136,7.717506549,9.455295989,3.786433975,1.702135226,7.782731517,6.31314181,8.329364943,9.011856235,4.863387978,2.42105
"Baton Rouge, LA MSA",6.794924571,6.892377676,7.100971316,9.123280003,2.01264842,6.426378757,1.421773489,9.37927325,8.466123856,8.865977314,9.234972678,8.35789
"Battle Creek, MI MSA",6.372133021,5.990731429,5.91049083,9.095481873,3.780427245,3.885924707,6.221903821,7.623460785,5.830990317,8.453149189,3.114754098,6.54737
"Bay City, MI MSA",6.053451346,5.620587766,5.411346622,9.095481873,1.582514353,4.706921625,6.272070612,7.690906104,6.196564126,6.514730478,3.114754098,7.01053
"Beaumont-Port Arthur, TX MSA",7.727137577,7.839124283,8.136950347,9.346550353,5.909199137,10,4.250439987,7.429345526,7.983002052,8.425592897,9.071038251,8.06316
